freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
7.0000185E+006	3.0676092E+001	-8.4247902E+001
4.7356185E+006	3.1079569E+001	-9.2688919E+001
3.2037188E+006	4.9191128E+001	-1.1220355E+002
2.1673750E+006	8.1710617E+001	-1.3585567E+002
1.4662634E+006	1.3105017E+002	-1.5403947E+002
9.9195556E+005	1.8631406E+002	-1.5339850E+002
6.7106775E+005	2.3684067E+002	-1.3502058E+002
4.5398791E+005	2.7198602E+002	-1.1042191E+002
3.0713703E+005	2.9260153E+002	-8.3444191E+001
2.0778281E+005	3.0218845E+002	-6.4151527E+001
1.4056933E+005	3.1247092E+002	-5.3374050E+001
9.5095383E+004	3.1864914E+002	-4.5464569E+001
6.4337141E+004	3.2151978E+002	-4.3173512E+001
4.3525457E+004	3.2568097E+002	-4.8220932E+001
2.9440693E+004	3.3081070E+002	-5.4929852E+001
1.9920945E+004	3.3149750E+002	-8.8375725E+001
1.3472386E+004	3.4326508E+002	-8.9900810E+001
9.1205166E+003	3.5386139E+002	-1.1977117E+002
6.3004048E+003	3.6640918E+002	-1.5717020E+002
4.1713340E+003	3.8667487E+002	-2.1813742E+002
2.8222874E+003	4.0973032E+002	-3.0110397E+002
1.9093901E+003	4.4301733E+002	-4.0970837E+002
1.2920648E+003	4.9722119E+002	-5.6641241E+002
8.7416174E+002	5.5825043E+002	-7.7997119E+002
5.9132428E+002	6.5622205E+002	-1.0718116E+003
4.0012820E+002	8.0904962E+002	-1.4656006E+003
